,bus_id,block_id,start_soc,end_soc,end_mile,total_block_mile,remaining_block_miles
254,CCW775,33,2,-27,-1283,164.0,63.0
255,CCW775,35,2,-37,-1712,188.0,69.0
256,CCW775,42,2,-30,-1414,188.0,78.0
257,CCW775,43,2,-32,-1474,166.0,69.0
258,CCW775,45,2,-37,-1706,188.0,82.0
259,CCW775,52,2,-41,-1927,211.0,87.0
260,CCW775,62,2,-45,-2106,218.0,93.0
261,CCW775,72,2,-38,-1785,203.0,79.0
262,CCW775,82,2,-29,-1339,180.0,56.0
263,CCW775,92,2,-39,-1822,188.0,87.0
264,CCW777,102,70,25,66,195.0,93.0
265,CCW777,112,70,29,76,180.0,78.0
266,CCW777,11X,70,49,130,175.0,43.0
267,CCW777,12,70,25,67,213.0,102.0
268,CCW777,122,70,40,104,157.0,56.0
269,CCW777,13,70,33,87,176.0,63.0
270,CCW777,14,70,67,175,19.0,8.0
271,CCW777,15,70,30,78,193.0,70.0
272,CCW777,21X,70,43,114,185.0,53.0
273,CCW777,22,70,26,68,210.0,100.0
274,CCW777,23,70,40,104,166.0,57.0
275,CCW777,24,70,61,161,19.0,15.0
276,CCW777,25,70,33,87,180.0,69.0
277,CCW777,32,70,36,95,190.0,79.0
278,CCW777,33,70,39,104,164.0,63.0
279,CCW777,35,70,31,83,188.0,69.0
280,CCW777,42,70,37,96,188.0,78.0
281,CCW777,43,70,34,90,166.0,69.0
282,CCW777,45,70,29,77,188.0,82.0
283,CCW777,52,70,27,70,211.0,87.0
284,CCW777,62,70,22,58,218.0,93.0
285,CCW777,72,70,29,76,203.0,79.0
286,CCW777,82,70,40,104,180.0,56.0
287,CCW777,92,70,28,74,188.0,87.0
